Time (s),CH1 Current (A),CH1 Voltage (V)
0:00:26.712571,0.0,7.51
0:00:26.914823,0.0,7.51
0:00:27.116863,0.0,7.51
0:00:27.319035,0.0,7.51
0:00:27.522070,0.0,7.51
0:00:27.724359,0.0,7.51
0:00:27.925659,0.0,7.51
0:00:28.127913,0.0,7.51
0:00:28.330473,0.0,7.51
0:00:28.534758,0.0,7.51
0:00:28.737555,0.0,7.51
0:00:28.940409,0.0,7.51
0:00:29.142651,0.0,7.51
0:00:29.343762,0.0,7.51
0:00:29.544770,0.0,7.51
0:00:29.746760,0.0,7.51
0:00:29.947975,0.0,7.51
0:00:30.150485,0.0,7.51
0:00:30.353716,0.0,7.51
0:00:30.556132,0.0,7.51
0:00:30.759015,0.0,7.51
0:00:30.974948,0.0,7.51
0:00:31.175618,0.0,7.51
0:00:31.376757,0.0,7.51
0:00:31.580399,0.0,7.51
0:00:31.781851,0.0,7.51
0:00:31.986111,0.0,7.51
0:00:32.189014,0.0,7.51
0:00:32.391489,0.0,7.51
0:00:32.593837,0.0,7.51
0:00:32.796104,0.0,7.51
0:00:32.999305,0.0,7.51
0:00:33.203985,0.0,7.51
0:00:33.409297,0.0,7.51
0:00:33.615607,0.0,7.51
0:00:33.819059,0.0,7.51
0:00:34.026366,0.0,7.51
0:00:34.231384,0.0,7.51
0:00:34.435769,0.0,7.51
0:00:34.643080,0.0,7.51
0:00:34.850208,0.0,7.51
0:00:35.056789,0.0,7.51
0:00:35.264096,0.0,7.51
0:00:35.471483,0.0,7.51
0:00:35.676762,0.0,7.51
0:00:35.884069,0.0,7.51
0:00:36.090955,0.0,7.51
0:00:36.297558,0.0,7.51
0:00:36.503459,0.0,7.51
0:00:36.705473,0.0,7.51
0:00:36.907471,0.0,7.51
0:00:37.109048,0.0,7.51
0:00:37.311490,0.0,7.51
0:00:37.513626,0.0,7.51
0:00:37.716851,0.0,7.51
0:00:37.919055,0.0,7.51
0:00:38.121476,0.0,7.51
0:00:38.323756,0.0,7.51
0:00:38.525752,0.0,7.51
0:00:38.727889,0.0,7.51
0:00:38.930524,0.0,7.51
0:00:39.131447,0.0,7.51
0:00:39.333828,0.0,7.51
0:00:39.535945,0.0,7.51
0:00:39.738970,0.0,7.51
0:00:39.941808,0.0,7.51
0:00:40.143617,0.0,7.51
0:00:40.347763,0.0,7.51
0:00:40.555069,0.0,7.51
0:00:40.761842,0.0,7.51
0:00:40.967898,0.0,7.51
0:00:41.172079,0.0,7.51
0:00:41.374013,0.0,7.51
0:00:41.577154,0.0,7.51
0:00:41.779985,0.0,7.51
0:00:41.981187,0.0,7.51
0:00:42.183859,0.0,7.51
0:00:42.387794,0.0,7.51
0:00:42.592422,0.0,7.51
0:00:42.794125,0.0,7.51
0:00:42.995618,0.0,7.51
0:00:43.196866,0.0,7.51
0:00:43.398815,0.0,7.51
0:00:43.600479,0.0,7.51
0:00:43.802403,0.0,7.51
0:00:44.004777,0.0,7.51
0:00:44.207876,0.0,7.51
0:00:44.409039,0.0,7.51
0:00:44.610396,0.0,7.51
0:00:44.812489,0.0,7.51
0:00:45.013769,0.0,7.51
0:00:45.215069,0.0,7.51
0:00:45.416875,0.0,7.51
0:00:45.618892,0.0,7.51
0:00:45.821477,0.0,7.51
0:00:46.022455,0.0,7.51
0:00:46.224756,0.0,7.51
0:00:46.426755,0.0,7.51
0:00:46.630318,0.0,7.51
0:00:46.833763,0.0,7.51
0:00:47.049019,0.0,7.51
0:00:47.251353,0.0,7.51
0:00:47.453727,0.0,7.51
0:00:47.655828,0.0,7.51
0:00:47.857938,0.0,7.51
0:00:48.061015,0.0,7.51
0:00:48.262426,0.0,7.51
0:00:48.464753,0.0,7.51
0:00:48.666882,0.0,7.51
0:00:48.869013,0.0,7.51
0:00:49.071370,0.0,7.51
0:00:49.274767,0.0,7.51
0:00:49.476485,0.0,7.51
0:00:49.681416,0.0,7.51
0:00:49.883700,0.0,7.51
0:00:50.085774,0.0,7.51
0:00:50.287894,0.0,7.51
0:00:50.490398,0.0,7.51
0:00:50.692093,0.0,7.51
0:00:50.893767,0.0,7.51
0:00:51.096682,0.0,7.51
0:00:51.297501,0.0,7.51
0:00:51.498995,0.0,7.51
0:00:51.701645,0.0,7.51
0:00:51.904771,0.0,7.51
0:00:52.105758,0.0,7.51
0:00:52.307941,0.0,7.51
0:00:52.510401,0.0,7.51
0:00:52.712501,0.0,7.51
0:00:52.914906,0.0,7.51
0:00:53.116852,0.0,7.51
0:00:53.319013,0.0,7.51
0:00:53.521488,0.0,7.51
0:00:53.722441,0.0,7.51
0:00:53.924745,0.0,7.51
0:00:54.126814,0.0,7.51
0:00:54.327730,0.0,7.51
0:00:54.530446,0.0,7.51
